Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Major Stone,Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
172,1363,Prehistoric Pile Dwellings around the Alps,"Austria,France,Germany,Italy,Slovenia,Switzerland",,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
173,192,Old Walled City of Shibam,Yemen,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
174,129,Maya Site of Copan,Honduras,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
175,286,Vatican City,Holy See,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1733,Minoan Palatial Centres,Greece,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
177,492,Taos Pueblo,United States of America,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1633,The Slate Landscape of Northwest Wales,United Kingdom of Great Britain and Northern Ireland,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1485,The Forth Bridge,United Kingdom of Great Britain and Northern Ireland,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1303,Pontcysyllte Aqueduct and Canal,United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1215,Cornwall and West Devon Mining Landscape,United Kingdom of Great Britain and Northern Ireland,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
