id,name,category,region,latitude,longitude,is_endangered,is_transnational,iso_code,date_inscribed
208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Cultural,,,,1,0,af,2003
211,Minaret and Archaeological Remains of Jam,Cultural,,,,1,0,af,2002
570,Butrint,Cultural,,,,0,0,al,1992
569,Historic Centres of Berat and Gjirokastra,Cultural,,,,0,0,al,2005
102,Al Qal'a of Beni Hammad,Cultural,,,,0,0,dz,1980
179,Tassili n'Ajjer,Mixed,,,,0,0,dz,1982
188,M'Zab Valley,Cultural,,,,0,0,dz,1982
191,Djémila,Cultural,,,,0,0,dz,1982
193,Tipasa,Cultural,,,,1,0,dz,1982
194,Timgad,Cultural,,,,0,0,dz,1982
565,Kasbah of Algiers,Cultural,,,,0,0,dz,1992
1160,Madriu-Perafita-Claror Valley,Cultural,,,,0,0,ad,2004
1511,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Cultural,,,,0,0,ao,2017
1499,Antigua Naval Dockyard and Related Archaeological Sites,Cultural,,,,0,0,ag,2016
145,Los Glaciares National Park,Natural,,,,0,0,ar,1981
303,Iguazu National Park,Natural,,,,0,0,ar,1984
936,"Cueva de las Manos, Río Pinturas",Cultural,,,,0,0,ar,1999
937,Península Valdés,Natural,,,,0,0,ar,1999
966,Ischigualasto / Talampaya Natural Parks,Natural,,,,0,0,ar,2000
995,Jesuit Block and Estancias of Córdoba,Cultural,,,,0,0,ar,2000
1116,Quebrada de Humahuaca,Cultural,,,,0,0,ar,2003
1526,Los Alerces National Park,Natural,,,,0,0,ar,2017
1681,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",Cultural,,,,0,0,ar,2023
777,Monasteries of Haghpat and Sanahin,Cultural,,,,0,0,am,1996
960,Monastery of Geghard and the Upper Azat Valley,Cultural,,,,0,0,am,2000
1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cultural,,,,0,0,am,2000
154,Great Barrier Reef,Natural,,,,0,0,au,1981
167,Willandra Lakes Region,Mixed,,,,0,0,au,1981
186,Lord Howe Island Group,Natural,,,,0,0,au,1982
368,Gondwana Rainforests of Australia,Natural,,,,0,0,au,1986
447,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Mixed,,,,0,0,au,1987
486,Wet Tropics of Queensland,Natural,,,,0,0,au,1988
577,Heard and McDonald Islands,Natural,,,,0,0,au,1997
578,"Shark Bay, Western Australia",Natural,,,,0,0,au,1991
629,Macquarie Island,Natural,,,,0,0,au,1997
630,K’gari,Natural,,,,0,0,au,1992
698,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Natural,,,,0,0,au,1994
917,Greater Blue Mountains Area,Natural,,,,0,0,au,2000
1094,Purnululu National Park,Natural,,,,0,0,au,2003
166,Sydney Opera House,Cultural,,,,1,0,au,2007
1306,Australian Convict Sites,Cultural,,,,0,0,au,2010
1131,Royal Exhibition Building and Carlton Gardens,Cultural,,,,0,0,au,2004
1369,Ningaloo Coast,Natural,,,,0,0,au,2011
147,Kakadu National Park,Mixed,,,,0,0,au,1981
181,Tasmanian Wilderness,Mixed,,,,0,0,au,1982
1577,Budj Bim Cultural Landscape,Cultural,,,,0,0,au,2019
1709,Murujuga Cultural Landscape,Cultural,,,,0,0,au,2025
784,Historic Centre of the City of Salzburg,Cultural,,,,0,0,at,1996
785,Semmering Railway,Cultural,,,,0,0,at,1998
